"Subject","Trial #","Motion Description","framerate","Frames 60fps","Status","Worked on by"
1,1,"playground - forward jumps, turn around",120,1376,"Centered","DragonForgedTheArtist"
1,2,"playground - climb",120,2173,"Centered","DragonForgedTheArtist"
1,3,"playground - climb, hang, swing",120,2255,"Centered","DragonForgedTheArtist"
1,4,"playground - climb",120,2149,"Centered","DragonForgedTheArtist"
1,5,"playground - climb, go under",120,2188,"Centered","DragonForgedTheArtist"
1,6,"playground - climb, sit, dangle legs, descend",120,2567,"Centered","DragonForgedTheArtist"
1,7,"playground - climb, sit, dangle legs, jump down",120,2420,"Centered","DragonForgedTheArtist"
1,8,"playground - climb, sit, dangle legs, rock back, lower self to ground",120,1305,"Centered","DragonForgedTheArtist"
1,9,"playground - climb, hang, hold self up with arms straight, swing, drop, sit, dangle legs, go under",120,2121,"Centered","DragonForgedTheArtist"
1,10,"playground - climb, swing, lean back, drop",120,1633,"Centered","DragonForgedTheArtist"
1,11,"playground - climb, hang, lean over, jump down",120,2327,"Centered","DragonForgedTheArtist"
1,12,"playground - climb, pull up, dangle, sit, lower self to ground",120,2055,"Centered","DragonForgedTheArtist"
1,13,"playground - climb, go under, jump down",120,1693,"Centered","DragonForgedTheArtist"
1,14,"playground - climb, jump down, dangle, legs push off against",120,1169,"Centered","DragonForgedTheArtist"
2,1,"walk",120,171,"Centered","DragonForgedTheArtist"
2,2,"walk",120,148,"Centered","DragonForgedTheArtist"
2,3,"run/jog",120,86,"Centered","DragonForgedTheArtist"
2,4,"jump, balance",120,241,"Centered","DragonForgedTheArtist"
2,5,"punch/strike",120,927,"Centered","DragonForgedTheArtist"
2,6,"bend over, scoop up, rise, lift arm",120,1118,"Centered","DragonForgedTheArtist"
2,7,"swordplay",120,1126,"Centered","DragonForgedTheArtist"
2,8,"swordplay",120,750,"Centered","DragonForgedTheArtist"
2,9,"swordplay",120,517,"Centered","DragonForgedTheArtist"
2,10,"wash self",120,1323,"Centered","DragonForgedTheArtist"
3,1,"walk on uneven terrain",120,215,"Centered","DragonForgedTheArtist"
3,2,"walk on uneven terrain",120,182,"Centered","DragonForgedTheArtist"
3,3,"walk on uneven terrain",120,2282,"Centered","DragonForgedTheArtist"
3,4,"walk on uneven terrain",120,2361,"Centered","DragonForgedTheArtist"
5,1,"walk",120,299,"Centered","DragonForgedTheArtist"
5,2,"dance - expressive arms, pirouette",120,562,"Centered","DragonForgedTheArtist"
5,3,"dance - sideways arabesque, turn step, folding arms",120,216,"Centered","DragonForgedTheArtist"
5,4,"dance - sideways arabesque, folding arms, bending back",120,600,"Centered","DragonForgedTheArtist"
5,5,"dance - quasi-cou-de-pied, raised leg above hip-height, jete en tourant",120,458,"Centered","DragonForgedTheArtist"
5,6,"dance - cartwheel-like start, pirouettes, jete",120,443,"Centered","DragonForgedTheArtist"
5,7,"dance - small jetes, attitude/arabesque, shifted-axis pirouette, turn",120,596,"Centered","DragonForgedTheArtist"
5,8,"dance - rond de jambe in the air, jete, turn",120,361,"Centered","DragonForgedTheArtist"
5,9,"dance - glissade devant, glissade derriere, attitude/arabesque",120,572,"Centered","DragonForgedTheArtist"
5,10,"dance - glissade devant, glissade derriere, attitude/arabesque",120,409,"Centered","DragonForgedTheArtist"
5,11,"dance - sideways steps, pirouette",120,296,"Centered","DragonForgedTheArtist"
5,12,"dance - arms held high, pointe tendue a terre, upper body rotation",120,677,"Centered","DragonForgedTheArtist"
5,13,"dance - small jetes, pirouette",120,548,"Centered","DragonForgedTheArtist"
5,14,"dance - retire derriere, attitude/arabesque",120,321,"Centered","DragonForgedTheArtist"
5,15,"dance - retire derriere, attitude/arabesque",120,270,"Centered","DragonForgedTheArtist"
5,16,"dance - coupe dessous, jete en tourant",120,263,"Centered","DragonForgedTheArtist"
5,17,"dance - coupe dessous, grand jete en tourant",120,522,"Centered","DragonForgedTheArtist"
5,18,"dance - attitude/arabesque, jete en tourant, bending back",120,915,"Centered","DragonForgedTheArtist"
5,19,"dance - attitude/arabesque, jete en tourant, bending back",120,430,"Centered","DragonForgedTheArtist"
5,20,"dance - attitude/arabesque, jete en tourant, bending back",120,548,"Centered","DragonForgedTheArtist"
6,1,"walk",120,246,"Centered","DragonForgedTheArtist"
6,2,"basketball - forward dribble",120,361,"Centered","DragonForgedTheArtist"
6,3,"basketball - forward dribble",120,264,"Centered","DragonForgedTheArtist"
6,4,"basketball - forward dribble",120,197,"Centered","DragonForgedTheArtist"
6,5,"basketball - forward dribble",120,192,"Centered","DragonForgedTheArtist"
6,6,"basketball - backward dribble",120,200,"Centered","DragonForgedTheArtist"
6,7,"basketball - backward dribble",120,288,"Centered","DragonForgedTheArtist"
6,8,"basketball - sideways dribble",120,170,"Centered","DragonForgedTheArtist"
6,9,"basketball - sideways dribble",120,150,"Centered","DragonForgedTheArtist"
6,10,"basketball - forward dribble, 90-degree left turns",120,557,"Centered","DragonForgedTheArtist"
6,11,"basketball - forward dribble, 90-degree right turns",120,573,"Centered","DragonForgedTheArtist"
6,12,"basketball - forward dribble, 90-degree right turns, crossover dribble",120,611,"Centered","DragonForgedTheArtist"
6,13,"basketball - low, fast free style dribble, dribble through legs",120,2453,"Centered","DragonForgedTheArtist"
6,14,"basketball - crossover dribble, shoot",120,239,"Centered","DragonForgedTheArtist"
6,15,"basketball - dribble, shoot",120,273,"Centered","DragonForgedTheArtist"
7,1,"walk",120,157,"Centered","DragonForgedTheArtist"
7,2,"walk",120,164,"Centered","DragonForgedTheArtist"
7,3,"walk",120,,,
7,4,"slow walk",120,,,
7,5,"slow walk",120,,,
7,6,"walk",120,,,
7,7,"walk",120,,,
7,8,"walk",120,,,
7,9,"walk",120,,,
7,10,"walk",120,,,
7,11,"walk",120,,,
7,12,"brisk walk",120,,,
8,1,"walk",120,,,
8,2,"walk",120,,,
8,3,"walk",120,,,
8,4,"slow walk",120,,,
8,5,"walk/stride",120,,,
8,6,"walk",120,,,
8,7,"walk, exaggerated stride",120,,,
8,8,"walk",120,,,
8,9,"walk",120,,,
8,10,"walk",120,,,
8,11,"slow walk/stride",120,,,
9,1,"run",120,,,
9,2,"run",120,,,
9,3,"run",120,,,
9,4,"run",120,,,
9,5,"run",120,,,
9,6,"run",120,,,
9,7,"run",120,,,
9,8,"run",120,,,
9,9,"run",120,,,
9,10,"run",120,,,
9,11,"run",120,,,
9,12,"navigate - walk forward, backward, sideways",120,,,
10,1,"soccer - kick ball",120,,,
10,2,"soccer - kick ball",120,,,
10,3,"soccer - kick ball",120,,,
10,4,"walk",120,,,
10,5,"soccer - kick ball",120,,,
10,6,"soccer - kick ball",120,,,
11,1,"soccer - kick ball",120,,,
12,1,"walk",120,,,
12,2,"walk",120,,,
12,3,"walk",120,,,
12,4,"tai chi",120,,,
13,1,"sit on high stool, stand up",120,,,
13,2,"sit on high stool, stand up",120,,,
13,3,"sit on high stool, stand up",120,,,
13,4,"sit on stepstool, chin in hand",120,,,
13,5,"sit on stepstool, hands against chin, fidget, stand up",120,,,
13,6,"sit on stepstool, hands against chin, elbow out, stand up",120,,,
13,7,"unscrew bottlecap, drink soda",120,,,
13,8,"unscrew bottlecap, drink soda, screw on bottlecap",120,,,
13,9,"drink soda",120,,,
13,10,"jump up to grab, reach for, tiptoe",120,,,
13,11,"forward jump",120,,,
13,12,"jump up to grab, reach for, tiptoe",120,,,
13,13,"forward jump",120,,,
13,14,"laugh",120,,,
13,15,"laugh",120,,,
13,16,"laugh",120,,,
13,17,"boxing",120,,,
13,18,"boxing",120,,,
13,19,"forward jump",120,,,
13,20,"wash windows",120,,,
13,21,"wash windows",120,,,
13,22,"wash windows",120,,,
13,23,"sweep floor",120,,,
13,24,"sweep floor",120,,,
13,25,"sweep floor",120,,,
13,26,"direct traffic, wave",120,,,
13,27,"direct traffic, wave, point",120,,,
13,28,"direct traffic, wave, point",120,,,
13,29,"jumping jacks, side twists, bend over, squats",120,,,
13,30,"jumping jacks, side twists, squats, jog",120,,,
13,31,"jumping jacks, side twists, bend over, jog",120,,,
13,32,"forward jump",120,,,
13,33,"climb ladder",120,,,
13,34,"climb ladder",120,,,
13,35,"climb 3 steps",120,,,
13,36,"climb 3 steps",120,,,
13,37,"climb 3 steps",120,,,
13,38,"climb 3 steps",120,,,
13,39,"jump",120,,,
13,40,"jump",120,,,
13,41,"jump",120,,,
13,42,"jump",120,,,
14,1,"boxing",120,,,
14,2,"boxing",120,,,
14,3,"boxing",120,,,
14,4,"drink soda, screw on bottlecap",120,,,
14,5,"unscrew bottlecap, drink soda",120,,,
14,6,"jumping jacks, jog, squats, side twists, stretches",120,,,
14,7,"jump up to grab, reach for, tiptoe",120,,,
14,8,"jump up to grab, reach for, tiptoe",120,,,
14,9,"jump up to grab, reach for, tiptoe",120,,,
14,10,"wash windows",120,,,
14,11,"wash windows",120,,,
14,12,"wash windows",120,,,
14,13,"mop floor",120,,,
14,14,"jumping jacks, jog, squats, side twists, stretches",120,,,
14,15,"mop floor",120,,,
14,16,"sweep floor",120,,,
14,17,"laugh",120,,,
14,18,"laugh",120,,,
14,19,"laugh",120,,,
14,20,"jumping jacks, side twists, reach up, bend over",120,,,
14,21,"climb 3 steps",120,,,
14,22,"climb 3 steps",120,,,
14,23,"climb 3 steps",120,,,
14,24,"direct traffic, wave, point",120,,,
14,25,"direct traffic, wave, point",120,,,
14,26,"direct traffic, wave, point",120,,,
14,27,"sit on high stool, stand up",120,,,
14,28,"sit on high stool, stand up",120,,,
14,29,"sit on stepstool, stand up, swing legs",120,,,
14,30,"sit on stepstool, ankle on other knee, hand on chin",120,,,
14,31,"sit on stepstool, stand up",120,,,
14,32,"sit on stepstool, stand up",120,,,
14,33,"climb ladder",120,,,
14,34,"climb ladder",120,,,
14,35,"climb ladder",120,,,
14,36,"sit on stepstool, stand up",120,,,
14,37,"drink soda",120,,,
15,1,"walk/wander",120,,,
15,2,"climb, step over, sit on, stand on stepstool",120,,,
15,3,"walk/wander",120,,,
15,4,"wash windows, paint; hand signals; dance - Egyptian walk, the Dive, the Twist, the Cabbage Patch; boxing",120,,,
15,5,"wash windows, paint; hand signals; dance - Egyptian walk, the Dive, the Twist, the Cabbage Patch; boxing",120,,,
15,6,"lean forward, reach for",120,,,
15,7,"lean forward, tiptoe, reach for",120,,,
15,8,"hand signals - horizontally revolve forearms",120,,,
15,9,"walk/wander",120,,,
15,10,"sit on high stool, stand up",120,,,
15,11,"wash windows, paint figure eights; hand signals",120,,,
15,12,"wash windows; basketball - dribble, lay-up shot, pass; throw ball; dance - Egyptian walk, the Dive, the Twist; strew",120,,,
15,13,"boxing",120,,,
15,14,"walk/wander",120,,,
16,1,"jump",120,,,
16,2,"jump",120,,,
16,3,"high jump",120,,,
16,4,"high jump",120,,,
16,5,"forward jump",120,,,
16,6,"forward jump",120,,,
16,7,"forward jump",120,,,
16,8,"run/jog, sudden stop",120,,,
16,9,"forward jump",120,,,
16,10,"forward jump",120,,,
16,11,"walk, veer left",120,,,
16,12,"walk, veer left",120,,,
16,13,"walk, veer right",120,,,
16,14,"walk, veer right",120,,,
16,15,"walk",120,,,
16,16,"walk",120,,,
16,17,"walk, 90-degree left turn",120,,,
16,18,"walk, 90-degree left turn",120,,,
16,19,"walk, 90-degree right turn",120,,,
16,20,"walk, 90-degree right turn",120,,,
16,21,"walk",120,,,
16,22,"walk",120,,,
16,23,"walk, veer left",120,,,
16,24,"walk, veer left",120,,,
16,25,"walk, veer right",120,,,
16,26,"walk, veer right",120,,,
16,27,"walk, 90-degree left turn",120,,,
16,28,"walk, 90-degree left turn",120,,,
16,29,"walk, 90-degree right turn",120,,,
16,30,"walk, 90-degree right turn",120,,,
16,31,"walk",120,,,
16,32,"walk",120,,,
16,33,"slow walk, stop",120,,,
16,34,"slow walk, stop",120,,,
16,35,"run/jog",120,,,
16,36,"run/jog",120,,,
16,37,"run/jog, veer left",120,,,
16,38,"run/jog, veer left",120,,,
16,39,"run/jog, veer right",120,,,
16,40,"run/jog, veer right",120,,,
16,41,"run/jog, 90-degree left turn",120,,,
16,42,"run/jog, 90-degree left turn",120,,,
16,43,"run/jog, 90-degree right turn",120,,,
16,44,"run/jog, 90-degree right turn",120,,,
16,45,"run/jog",120,,,
16,46,"run/jog",120,,,
16,47,"walk",120,,,
16,48,"run, veer left",120,,,
16,49,"run, veer right",120,,,
16,50,"run, veer right",120,,,
16,51,"run, 90-degree left turn",120,,,
16,52,"run, 90-degree left turn",120,,,
16,53,"run, 90-degree right turn",120,,,
16,54,"run, 90-degree right turn",120,,,
16,55,"run",120,,,
16,56,"run/jog",120,,,
16,57,"run/jog, sudden stop",120,,,
16,58,"walk",120,,,
17,1,"walk with anger, frustration",120,,,
17,2,"walk with anger, frustration",120,,,
17,3,"walk stealthily",120,,,
17,4,"walk stealthily",120,,,
17,5,"walk/hobble",120,,,
17,6,"whistle, walk jauntily",120,,,
17,7,"whistle, walk jauntily",120,,,
17,8,"muscular, heavyset person's walk",120,,,
17,9,"muscular, heavyset person's walk",120,,,
17,10,"boxing",120,,,
18,1,"walk, shake hands (2 subjects - subject A)",120,,,
18,2,"walk, shake hands (2 subjects - subject A)",120,,,
18,3,"A pulls B; B resists (2 subjects - subject A)",120,,,
18,4,"A pulls B; B resists (2 subjects - subject A)",120,,,
18,5,"A pulls B by the elbow; B resists (2 subjects - subject A)",120,,,
18,6,"A pulls B by the elbow; B resists (2 subjects - subject A)",120,,,
18,7,"navigate busy sidewalk; A leads the way, takes B by the arm (2 subjects - subject A)",120,,,
18,8,"conversation - explain with hand gestures (2 subjects - subject A)",120,,,
18,9,"conversation - explain with hand gestures, walk (2 subjects - subject A)",120,,,
18,10,"quarrel - angry hand gestures (2 subjects - subject A)",120,,,
18,11,"quarrel - angry hand gestures (2 subjects - subject A)",120,,,
18,12,"friends meet, hang out; A sits, B joins A (2 subjects - subject A)",120,,,
18,13,"run, scramble for last seat (2 subjects - subject A)",120,,,
18,14,"run, scramble for last seat (2 subjects - subject A)",120,,,
18,15,"chicken dance (2 subjects - subject A)",120,,,
19,1,"walk, shake hands (2 subjects - subject B)",120,,,
19,2,"walk, shake hands (2 subjects - subject B)",120,,,
19,3,"A pulls B; B resists (2 subjects - subject B)",120,,,
19,4,"A pulls B; B resists (2 subjects - subject B)",120,,,
19,5,"A pulls B by the elbow; B resists (2 subjects - subject B)",120,,,
19,6,"A pulls B by the elbow; B resists (2 subjects - subject B)",120,,,
19,7,"navigate busy sidewalk; A leads the way, takes B by the arm (2 subjects - subject B)",120,,,
19,8,"conversation - explain with hand gestures (2 subjects - subject B)",120,,,
19,9,"conversation - explain with hand gestures, walk (2 subjects - subject B)",120,,,
19,10,"quarrel - angry hand gestures (2 subjects - subject B)",120,,,
19,11,"quarrel - angry hand gestures (2 subjects - subject B)",120,,,
19,12,"friends meet, hang out; A sits, B joins A (2 subjects - subject B)",120,,,
19,13,"run, scramble for last seat (2 subjects - subject B)",120,,,
19,14,"run, scramble for last seat (2 subjects - subject B)",120,,,
19,15,"chicken dance (2 subjects - subject B)",120,,,
20,1,"chicken dance (2 subjects - subject A)",120,,,
20,2,"link arms, walk (2 subjects - subject A)",120,,,
20,3,"link arms, walk (2 subjects - subject A)",120,,,
20,4,"synchronized walk (2 subjects - subject A)",120,,,
20,5,"synchronized walk (2 subjects - subject A)",120,,,
20,6,"soldiers march (2 subjects - subject A)",120,,,
20,7,"soldiers march (2 subjects - subject A)",120,,,
20,8,"zombie march (2 subjects - subject A)",120,,,
20,9,"nursery rhyme - ring around the rosey (2 subjects - subject A)",120,,,
20,10,"360-degree two-person whip (2 subjects - subject A)",120,,,
20,11,"high-five, walk (2 subjects - subject A)",120,,,
20,12,"low-five, walk (2 subjects - subject A)",120,,,
20,13,"blind man's bluff (blindfold tag) (2 subjects - subject A)",120,,,
21,1,"chicken dance (2 subjects - subject B)",120,,,
21,2,"link arms, walk (2 subjects - subject B)",120,,,
21,3,"link arms, walk (2 subjects - subject B)",120,,,
21,4,"synchronized walk (2 subjects - subject B)",120,,,
21,5,"synchronized walk (2 subjects - subject B)",120,,,
21,6,"soldiers march (2 subjects - subject B)",120,,,
21,7,"soldiers march (2 subjects - subject B)",120,,,
21,8,"zombie march (2 subjects - subject B)",120,,,
21,9,"nursery rhyme - ring around the rosey (2 subjects - subject B)",120,,,
21,10,"360-degree two-person whip (2 subjects - subject B)",120,,,
21,11,"high-five, walk (2 subjects - subject B)",120,,,
21,12,"low-five, walk (2 subjects - subject B)",120,,,
21,13,"blind man's bluff (blindfold tag) (2 subjects - subject B)",120,,,
22,1,"B sits; A pulls up B (2 subjects - subject A)",120,,,
22,2,"A sits; B pulls up A (2 subjects - subject A)",120,,,
22,3,"A sits, holds face in hands; B kneels, comforts A (2 subjects - subject A)",120,,,
22,4,"B comforts A, puts one hand on A's shoulder (2 subjects - subject A)",120,,,
22,5,"A comforts B, puts both hands on B's shoulders (2 subjects - subject A)",120,,,
22,6,"B comforts A, puts both hands on A's shoulders (2 subjects - subject A)",120,,,
22,7,"A comforts B, puts one hand on B's shoulder (2 subjects - subject A)",120,,,
22,8,"hold hands, swing arms, walk (2 subjects - subject A)",120,,,
22,9,"A gives B a shoulder rub; B sits, A stands (2 subjects - subject A)",120,,,
22,10,"A shelters B, a younger child, from harm (2 subjects - subject A)",120,,,
22,11,"B shelters A, a younger child, from harm (2 subjects - subject A)",120,,,
22,12,"A stumbles into B (2 subjects - subject A)",120,,,
22,13,"A passes soda to B; both drink (2 subjects - subject A)",120,,,
22,14,"alternating squats (2 subjects - subject A)",120,,,
22,15,"alternating jumping jacks (2 subjects - subject A)",120,,,
22,16,"synchronized jumping jacks (2 subjects - subject A)",120,,,
22,17,"rush up, arm wrestle (2 subjects - subject A)",120,,,
22,18,"A stares down B, leans with hands on high stool (2 subjects - subject A)",120,,,
22,19,"B stares down A, leans with hands on high stool (2 subjects - subject A)",120,,,
22,20,"violence - A picks up high stool, threatens to strike B (2 subjects - subject A)",120,,,
22,21,"conversation - B pounds high stool, points at A (2 subjects - subject A)",120,,,
22,22,"walk; B catches keys thrown by A (2 subjects - subject A)",120,,,
22,23,"walk; A catches keys thrown by B (2 subjects - subject A)",120,,,
22,24,"walk; B catches wallet thrown by A (2 subjects - subject A)",120,,,
22,25,"walk; A catches wallet thrown by B (2 subjects - subject A)",120,,,
23,1,"B sits; A pulls up B (subjects - subject B)",120,,,
23,2,"A sits; B pulls up A (subjects - subject B)",120,,,
23,3,"A sits, holds face in hands; B kneels, comforts A (2 subjects - subject B)",120,,,
23,4,"B comforts A, puts one hand on A's shoulder (2 subjects - subject B)",120,,,
23,5,"A comforts B, puts both hands on B's shoulders (2 subjects - subject B)",120,,,
23,6,"B comforts A, puts both hands on A's shoulders (2 subjects - subject B)",120,,,
23,7,"A comforts B, puts one hand on B's shoulder (2 subjects - subject B)",120,,,
23,8,"hold hands, swing arms, walk (2 subjects - subject B)",120,,,
23,9,"A gives B a shoulder rub; B sits, A stands (subjects - subject B)",120,,,
23,10,"A shelters B, a younger child, from harm (2 subjects - subject B)",120,,,
23,11,"B shelters A, a younger child, from harm (2 subjects - subject B)",120,,,
23,12,"A stumbles into B (2 subjects - subject B)",120,,,
23,13,"A passes soda to B; both drink (2 subjects - subject B)",120,,,
23,14,"alternating squats (2 subjects - subject B)",120,,,
23,15,"alternating jumping jacks (2 subjects - subject B)",120,,,
23,16,"synchronized jumping jacks (2 subjects - subject B)",120,,,
23,17,"rush up, arm wrestle (2 subjects - subject B)",120,,,
23,18,"A stares down B, leans with hands on high stool (2 subjects - subject B)",120,,,
23,19,"B stares down A, leans with hands on high stool (2 subjects - subject B)",120,,,
23,20,"violence - A picks up high stool, threatens to strike B (2 subjects - subject B)",120,,,
23,21,"conversation - B pounds high stool, points at A (2 subjects - subject B)",120,,,
23,22,"walk; B catches keys thrown by A (2 subjects - subject B)",120,,,
23,23,"walk; A catches keys thrown by B (2 subjects - subject B)",120,,,
23,24,"walk; B catches wallet thrown by A (2 subjects - subject B)",120,,,
23,25,"walk; A catches wallet thrown by B (2 subjects - subject B)",120,,,
24,1,"nursery rhyme - ""I'm a little teapot...""",120,,,
25,1,"nursery rhyme - ""I'm a little teapot...""",120,,,
26,1,"walk",120,,,
26,2,"basketball signals",120,,,
26,3,"nursery rhyme - ""I'm a little teapot...""",120,,,
26,4,"nursery rhyme - ""I'm a little teapot...""",120,,,
26,5,"Alaska vacation",120,,,
26,6,"Alaska vacation",120,,,
26,7,"nursery rhyme - Cock Robin",120,,,
26,8,"nursery rhyme - Cock Robin",120,,,
26,9,"bend, pick up",120,,,
26,10,"bend, lift",120,,,
26,11,"bend, lift",120,,,
27,1,"walk",120,,,
27,2,"basketball signals",120,,,
27,3,"nursery rhyme - ""I'm a little teapot...""",120,,,
27,4,"Alaskan vacation",120,,,
27,5,"nursery rhyme - Cock Robin",120,,,
27,6,"basketball signals",120,,,
27,7,"nursery rhyme - ""I'm a little teapot...""",120,,,
27,8,"Alaskan vacation",120,,,
27,9,"Alaskan vacation",120,,,
27,10,"nursery rhyme - Cock Robin",120,,,
27,11,"prairie dog (human subject)",120,,,
28,1,"basketball signals",120,,,
28,2,"nursery rhyme - ""I'm a little teapot...""",120,,,
28,3,"Alaskan vacation",120,,,
28,4,"nursery rhyme - Cock Robin",120,,,
28,5,"basketball signals",120,,,
28,6,"nursery rhyme - ""I'm a little teapot...""",120,,,
28,7,"Alaskan vacation",120,,,
28,8,"nursery rhyme - Cock Robin",120,,,
